"name_en","postcode","latitude","longitude"
"Wahamalgollewa","50492","8.48070790","80.50216520"
"Walagambahuwa","50086","8.15586220","80.49660620"
"Walahaviddawewa","50516","8.45887190","80.86599690"
"Welimuwapotana","50358","8.55929760","80.83501090"
"Welioya Project","50586","8.96404140","80.78794070"
"Akkarasiyaya","90166","6.99340090","81.05498150"
"Aluketiyawa","90736","7.30000000","81.11666700"
"Aluttaramma","90722","6.99340090","81.05498150"
"Ambadandegama","90108","6.81900520","81.05614580"
"Ambagasdowa","90300","6.92807100","80.89657580"
"Arawa","90017","7.16666700","81.08333300"
"Arawakumbura","90532","7.08738620","81.19955110"
"Arawatta","90712","7.34330130","81.03716620"
"Atakiriya","90542","6.98189520","81.07628300"
"Badulla","90000","6.99340090","81.05498150"
"Baduluoya","90019","7.12482550","81.03026390"
"Ballaketuwa","90092","6.86225690","81.10029850"
"Bambarapana","90322","6.98156960","80.95118350"
"Bandarawela","90100","6.82587800","80.99815760"
"Beramada","90066","6.92125060","79.84778520"
"Bibilegama","90502","6.89617300","81.14029050"
"Boragas","90362","6.89990100","80.84608220"
"Boralanda","90170","6.82790440","80.89450140"
"Bowela","90302","6.98189520","81.07628300"
"Central Camp","32050","6.99340090","81.05498150"
"Damanewela","32126","6.99340090","81.05498150"
"Dambana","90714","7.41362290","81.10834830"
"Dehiattakandiya","32150","7.67127960","81.04648400"
"Demodara","90080","6.89928290","81.05817760"
"Diganatenna","90132","6.85588490","80.96526170"
"Dikkapitiya","90214","6.89368620","80.93736230"
"Dimbulana","90324","7.01527780","80.94000000"
"Divulapelessa","90726","7.57782550","81.00368210"
"Diyatalawa","90150","6.80695100","80.95720210"
"Dulgolla","90104","6.85685410","80.88343670"
"Ekiriyankumbura","91502","7.29888840","81.24086890"
"Ella","90090","6.86669880","81.04655300"
"Ettampitiya","90140","6.93645060","80.98779800"
"Galauda","90065","6.99340090","81.05498150"
"Galporuyaya","90752","7.42852030","81.03682110"
"Gawarawela","90082","6.90284970","81.07132610"
"Girandurukotte","90750","7.46291690","81.01749170"
"Godunna","90067","7.06682380","80.97488400"
"Gurutalawa","90208","6.84350900","80.90002230"
"Haldummulla","90180","6.76892280","80.89266810"
"Hali Ela","90060","6.95552540","81.03143840"
"Hangunnawa","90224","6.94950730","80.87237050"
"Haputale","90160","6.76541360","80.95256550"
"Hebarawa","90724","7.53197770","80.98987010"
"Heeloya","90112","6.86669880","81.04655300"
"Helahalpe","90122","6.88928830","81.03450680"
"Helapupula","90094","6.98189520","81.07628300"
"Hopton","90524","6.98823220","81.19748460"
"Idalgashinna","96167","6.78296900","80.90003310"
"Kahataruppa","90052","6.98189520","81.07628300"
"Kalugahakandura","90546","7.12266830","81.09478080"
"Kalupahana","90186","6.79100550","80.84537710"
"Kebillawela","90102","6.83496050","80.99328360"
"Kendagolla","90048","6.99275530","81.10846340"
"Keselpotha","90738","7.32834070","81.09421320"
"Ketawatta","90016","6.98189520","81.07628300"
"Kiriwanagama","90184","6.77335170","80.83121380"
"Koslanda","90190","6.74312340","81.01783690"
"Kuruwitenna","90728","6.98189520","81.07628300"
"Kuttiyagolla","90046","7.02684860","81.09478080"
"Landewela","90068","7.00514020","81.00230100"
"Liyangahawela","90106","6.81189130","81.02991830"
"Lunugala","90530","7.04036760","81.20167370"
"Lunuwatta","90310","6.95572350","80.91939120"
"Madulsima","90535","7.04667480","81.15821120"
"Mahiyanganaya","90700","7.33161020","81.00368210"
"Makulella","90114","6.82919910","81.03406010"
"Malgoda","90754","6.98189520","81.07628300"
"Mapakadawewa","90730","7.28932120","81.02577630"
"Maspanna","90328","7.02794930","80.94427320"
"Maussagolla","90582","6.91240280","81.13856710"
"Mawanagama","32158","7.59697890","81.15269760"
"Medawela Udukinda","90218","6.86256990","80.85776300"
"Meegahakiula","90015","7.01864620","81.05639800"
"Metigahatenna","90540","7.07720390","81.15407600"
"Mirahawatta","90134","6.87515400","80.93397920"
"Miriyabedda","90504","6.99340090","81.05498150"
"Nawamedagama","32120","7.52535610","81.05890600"
"Nelumgama","90042","6.99417300","81.07000500"
"Nikapotha","90165","6.74527170","80.97298900"
"Nugatalawa","90216","6.90191460","80.90770790"
"Ohiya","90168","6.81901030","80.84469840"
"Pahalarathkinda","90756","6.99340090","81.05498150"
"Pallekiruwa","90534","7.01599390","81.22434440"
"Passara","90500","6.93490880","81.15269760"
"Pattiyagedara","90138","6.90433540","80.97438700"
"Pelagahatenna","90522","6.96096040","81.12512350"
"Perawella","90222","6.94737520","80.83078860"
"Pitamaruwa","90544","7.11015220","81.15916800"
"Pitapola","90171","6.80930280","80.89173530"
"Puhulpola","90212","6.98189520","81.07628300"
"Rajagalatenna","32068","6.98189520","81.07628300"
"Rathkarawwa","90164","6.80691400","80.90556450"
"Ridimaliyadda","90704","7.21816000","81.12050680"
"Silmiyapura","90364","6.91441390","80.84193070"
"Sirimalgoda","90044","6.98189520","81.07628300"
"Siripura","32155","6.96852990","80.91082680"
"Sorabora Colony","90718","7.36061250","80.98434460"
"Soragune","90183","6.74491800","80.89279720"
"Soranathota","90008","7.02284960","81.04495180"
"Taldena","90014","7.09199130","81.04835830"
"Timbirigaspitiya","90012","6.99340090","81.05498150"
"Uduhawara","90226","6.94799280","80.86268640"
"Uraniya","90702","7.26054430","81.08523180"
"Uva Karandagolla","90091","6.98189520","81.07628300"
"Uva Mawelagama","90192","6.98189520","81.07628300"
"Uva Tenna","90188","6.98189520","81.07628300"
"Uva Tissapura","90734","6.98189520","81.07628300"
"Welimada","90200","6.90190720","80.90792450"
"Weranketagoda","32062","6.98189520","81.07628300"
"Wewatta","90716","7.38626820","81.16441360"
"Wineethagama","90034","6.98088050","81.07696420"
"Yalagamuwa","90329","6.98189520","81.07628300"
"Yalwela","90706","7.26420680","81.15676260"
"Addalaichenai","32350","7.24425790","81.85480710"
"Ampilanthurai","30162","7.71655610","81.69881720"
"Araipattai","30150","7.73099710","81.67472950"
"Ayithiyamalai","30362","7.67361980","81.57030650"
"Bakiella","30206","7.73099710","81.67472950"
"Batticaloa","30000","7.73099710","81.67472950"
"Cheddipalayam","30194","7.57957080","81.78493010"
"Chenkaladi","30350","7.78585710","81.58980160"
"Eravur","30300","7.77689720","81.60420280"
"Kaluwanchikudi","30200","7.52937250","81.79460920"
"Kaluwankemy","30372","7.52937250","81.79460920"
"Kannankudah","30016","7.67886980","81.67250220"
"Karadiyanaru","30354","7.70074660","81.53838700"
"Kathiraveli","30456","8.22288100","81.40385770"
"Kattankudi","30100","7.68536950","81.72601230"
"Kiran","30394","7.86777970","81.51026550"
"Kirankulam","30159","7.60532060","81.76838280"
"Koddaikallar","30249","7.48387900","81.80798530"
"Kokkaddicholai","30160","7.61605700","81.71031550"
"Kurukkalmadam","30192","7.58799500","81.78041500"
"Mandur","30220","7.48266490","81.75409020"
"Miravodai","30426","7.88934640","81.51026550"
"Murakottanchanai","30392","7.73099710","81.67472950"
"Navagirinagar","30238","7.73099710","81.67472950"
"Navatkadu","30018","7.20452670","81.84019570"
"Oddamavadi","30420","7.90310760","81.52398460"
"Palamunai","32354","7.66111430","81.74725220"
"Pankudavely","30352","7.73099710","81.67472950"
"Periyaporativu","30230","7.51916300","81.76913180"
"Periyapullumalai","30358","7.58167990","81.46085600"
"Pillaiyaradi","30022","7.73099710","81.67472950"
"Punanai","30428","7.96500740","81.38897480"
"Thannamunai","30024","7.75310300","81.63780190"
"Thettativu","30196","7.55581030","81.79670110"
"Thikkodai","30236","7.52434860","81.68841840"
"Thirupalugamam","30234","7.73099710","81.67472950"
"Unnichchai","30364","7.61828800","81.54882070"
"Vakaneri","30424","7.92654340","81.48281980"
"Vakarai","30450","8.13690990","81.43407900"
"Valaichenai","30400","7.92132760","81.52467050"
"Vantharumoolai","30376","7.79058820","81.55690030"
"Vellavely","30204","7.49561360","81.72947020"
"Akarawita","10732","6.84221160","80.00302570"
"Ambalangoda","80300","6.77508470","79.96543240"
"Athurugiriya","10150","6.87231850","80.00038750"
"Avissawella","10700","6.95432890","80.20457680"
"Batawala","10513","6.87742700","80.05488940"
"Battaramulla","10120","6.89838190","79.91784130"
"Biyagama","11650","6.94621530","79.98920340"
"Bope","10522","6.82488950","80.13727570"
"Boralesgamuwa","10290","6.82335500","79.90902460"
"Colombo 8","00800","6.91217960","79.88288280"
"Dedigamuwa","10656","6.89801900","80.02694400"
"Dehiwala","10350","6.83011850","79.88008320"
"Deltara","10302","6.78513280","79.91371250"
"Habarakada","10204","6.86596670","80.01296790"
"Hanwella","10650","6.89783440","80.08142920"
"Hiripitya","10232","6.83346570","79.97661950"
"Hokandara","10118","6.87431920","79.96962770"
"Homagama","10200","6.84327620","80.00318330"
"Horagala","10502","6.81482950","80.07236730"
"Kaduwela","10640","6.94058620","79.95226860"
"Kaluaggala","11224","6.93278990","80.10656460"
"Kapugoda","10662","6.94498250","80.07466280"
"Kehelwatta","12550","6.93352580","79.85978310"
"Kiriwattuduwa","10208","6.80237970","80.00737680"
"Kolonnawa","10600","6.92801560","79.89083080"
"Kosgama","10730","6.93971650","80.13692680"
"Madapatha","10306","6.76904650","79.92906420"
"Maharagama","10280","6.84780040","79.92176150"
"Malabe","10115","6.90784830","79.94740870"
"Moratuwa","10400","6.78807060","79.89128130"
"Mount Lavinia","10370","6.82215880","79.87317740"
"Mullegama","10202","6.88452810","80.01285620"
"Napawela","10704","6.89641910","79.88848190"
"Nugegoda","10250","6.86490810","79.89967890"
"Padukka","10500","6.84536340","80.10377210"
"Pannipitiya","10230","6.84639930","79.94843460"
"Piliyandala","10300","6.80175750","79.92273130"
"Pitipana Homagama","10206","6.84444250","80.02062030"
"Polgasowita","10320","6.78993580","79.98081430"
"Pugoda","10660","6.95903420","80.13172030"
"Ranala","10654","6.91537590","80.03393120"
"Siddamulla","10304","6.81725160","79.95983830"
"Siyambalagoda","81462","6.79228810","79.96683080"
"Sri Jayawardenepura","10100","6.87927560","79.90080740"
"Talawatugoda","10116","6.87586480","79.93919360"
"Tummodara","10682","6.86589500","80.16906420"
"Waga","10680","6.88051870","80.14006710"
"Colombo 6","00600","6.87465790","79.86048310"
"Agaliya","80212","6.00854630","80.24223830"
"Ahangama","80650","5.97397470","80.36215950"
"Ahungalla","80562","6.31327760","80.04091780"
"Akmeemana","80090","6.08363060","80.29623850"
"Alawatugoda","20140","7.40899340","80.61879420"
"Aluthwala","80332","6.18019580","80.14006710"
"Ampegama","80204","6.19467440","80.14425400"
"Amugoda","80422","6.32125570","80.21888580"
"Anangoda","80044","6.04756420","80.25304120"
"Angulugaha","80122","6.03185250","80.32409600"
"Ankokkawala","80048","6.05329180","80.28091290"
"Aselapura","51072","6.05351850","80.22097730"
"Baddegama","80200","6.16882920","80.17939760"
"Balapitiya","80550","6.27835460","80.04030470"
"Banagala","80143","6.28153610","80.42590530"
"Batapola","80320","6.22418210","80.11383690"
"Bentota","80500","6.41891750","80.00597900"
"Boossa","80270","6.08894940","80.15606480"
"Dellawa","81477","6.32489590","80.44934050"
"Dikkumbura","80654","6.01834760","80.37282450"
"Dodanduwa","80250","6.10283470","80.13029690"
"Ella Tanabaddegama","80402","6.05774900","80.21755720"
"Elpitiya","80400","6.28799690","80.15960410"
"Galle","80000","6.04819180","80.21539980"
"Ginimellagaha","80220","6.12970640","80.16937100"
"Gintota","80280","6.06001210","80.18002210"
"Godahena","80302","6.23458620","80.07456270"
"Gonamulla Junction","80054","6.08208300","80.29091100"
"Gonapinuwala","80230","6.14345180","80.13448420"
"Habaraduwa","80630","5.99835900","80.30782020"
"Haburugala","80506","6.40370130","80.03393120"
"Hikkaduwa","80240","6.13946760","80.10628610"
"Hiniduma","80080","6.30944820","80.32409600"
"Hiyare","80056","6.07201140","80.34258010"
"Kahaduwa","80460","6.22345150","80.21261090"
"Kahawa","80312","6.18818520","80.07723920"
"Karagoda","80151","6.03524350","80.21049500"
"Karandeniya","80360","6.26832170","80.08980850"
"Kosgoda","80570","6.33544240","80.03393120"
"Kottawagama","80062","6.10781390","80.30358840"
"Kottegoda","81180","6.96152440","80.93610230"
"Kuleegoda","80328","6.21382060","80.07033080"
"Magedara","80152","6.09993990","80.40343930"
"Mahawela Sinhapura","51076","6.68192410","80.40587410"
"Mapalagama","80112","6.22356070","80.28927270"
"Mapalagama Central","80116","6.22356070","80.28927270"
"Mattaka","80424","6.30295010","80.25722250"
"Meda-Keembiya","80092","6.11400500","80.24049590"
"Meetiyagoda","80330","6.18983430","80.09539420"
"Nagoda","80110","6.19797800","80.27465470"
"Nakiyadeniya","80064","6.14332850","80.34219840"
"Nawandagala","80416","6.31123550","80.14006710"
"Neluwa","80082","6.37310280","80.35751280"
"Nindana","80318","6.20709000","80.10796080"
"Pahala Millawa","81472","6.29379580","80.47158660"
"Panangala","80075","6.26290960","80.32370430"
"Pannimulla Panagoda","80086","6.35379140","80.40869950"
"Parana Thanayamgoda","80114","6.23054990","80.31295410"
"Patana","22012","6.05351850","80.22097730"
"Pitigala","80420","6.34195530","80.23770780"
